"NOTE: Main cohort, 40-50 people. Buildings with 35+ beds in SF, ranked by score. Fitzgerald baseline rows pinned on top: beat these or we stay put."
Rank,Name,Detail,Address,Neighborhood,Beds est,$/bed est,$ now (verified),Kitchen,Walk min,Sept 15 ready,Walk-in ready,Deal channel,Score,Status,Outreach,Contact,Phone,Email / path,The play,id
11,AAU dorm,860 Sutter St,"860 Sutter St, Nob Hill, SF",Nob Hill,120,650,,communal,16,unknown,unknown,institution,89,dark,not-contacted,"AAU Housing Office - existing landlord, warm intro",via 79 New Montgomery switchboard,academyart.edu/campus-athletics/housing,One motivated seller - M&M brokers,pl-aau-dorm-860-sutter-st
12,Mosser SRO,1000 Market St (owner stuck),"1000 Market / Turk St, Mid-Market SF",Civic Center,361,1250,,communal,3,unknown,yes,owner,88.75,active,not-contacted,Mosser Companies,(415) 673-1608,mosserliving.com/contact,Master-lease the rooms he can't fill,pl-mosser-sro-1000-market-st-owner-stuck
13,AAU dorm,1080 Bush St,"1080 Bush St, Nob Hill, SF",Nob Hill,114,650,,communal,17,unknown,yes,institution,88,active,not-contacted,"AAU Housing Office - existing landlord, warm intro",via 79 New Montgomery switchboard,academyart.edu/campus-athletics/housing,One motivated seller - M&M brokers,pl-aau-dorm-1080-bush-st
14,AAU dorm,680 Sutter St,"680 Sutter St, Nob Hill, SF",Nob Hill,100,650,,communal,14,unknown,yes,institution,88,active,not-contacted,"AAU Housing Office - existing landlord, warm intro",via 79 New Montgomery switchboard,academyart.edu/campus-athletics/housing,One motivated seller - M&M brokers,pl-aau-dorm-680-sutter-st
15,AAU dorm,736 Jones St,"736 Jones St, Nob Hill, SF",Nob Hill,72,650,,communal,18,unknown,unknown,institution,84,dark,not-contacted,"AAU Housing Office - existing landlord, warm intro",via 79 New Montgomery switchboard,academyart.edu/campus-athletics/housing,One motivated seller - M&M brokers,pl-aau-dorm-736-jones-st
16,Sweden House,,Tenderloin,Civic Center,35,1395,,communal,11,unknown,yes,operator,81.13,active,contacted by Alex,,(415) 949-0067,reservations@urbanests.com,,inv-sweden-house
17,Crystal Hotel,'Residential Master Lease available',"2766-2770 Mission St (at ~24th), Mission, SF",Mission,45,500,,communal,32,unknown,unknown,broker,78,on-market,not-contacted,Richard Ehmer - The Ehmer Group,(415) 225-5176,rehmer@ehmergroup.com,"Call broker Richard Ehmer, (415) 225-5176 · rehmer@ehmergroup.com",pl-crystal-hotel-residential-master-lease-available
18,524 Columbus Residences,,North Beach,North Beach,45,1195,,communal,30,unknown,yes,operator,75.13,active,contacted by Alex,,(415) 949-0067,reservations@urbanests.com,,inv-524-columbus-residences
19,1055-1069 Pine St,80-unit ex-dorm,"Nob Hill, SF (part of AAU cluster)",Nob Hill,80,1300,,communal,20,false,unknown,institution,74.5,on-market,not-contacted,Marcus & Millichap: Jim Wright · J.J. Taughinbaugh · Taylor Flynn · Yuri Sergunin,(650) 391-1837 · (650) 391-1807 · (415) 963-3042 · (650) 391-1764 · SF office (415) 963-3000,jim.wright@ / jj.taughinbaugh@ / taylor.flynn@ / yuri.sergunin@marcusmillichap.com,Lease / seller-finance,pl-1055-1069-pine-st-80-unit-ex-dorm
20,Monroe Residence Club,,"1870 Sacramento St, Nob Hill, SF",Nob Hill,50,1600,,communal,27,true,yes,unknown,73,active,not-contacted, - ,(415) 474-6200,reservations@monroeresidenceclub.com,Direct approach,pl-monroe-residence-club
21,149-161 Hyde St,,"149-161 Hyde St, SF",Civic Center,44,2100,,private,6,false,unknown,receiver,72.5,on-market,not-contacted,Listing broker - see LoopNet (round-5 find), - ,LoopNet 149-161 Hyde St,Diligence all three; Hegenberger = most capacity per dollar on the board,pl-149-161-hyde-st
22,CCA surplus dorms,perfect bridge year,"Founders Hall, 188 Hooper St, Design District, SF",Design District / Potrero,270,650,,communal,35,unknown,yes,institution,70,active,not-contacted,"Charles Eden, NCCD President → Capstone Management → housing@cca.edu",(512) 322-9650,geden@nccdevelopment.org,Call CCA administration/housing about a 2026-27 block,pl-cca-surplus-dorms-perfect-bridge-year
23,Kenmore Residence Club,,"1570 Sutter St, Lower Nob Hill, SF",Nob Hill,50,1800,,communal,26,true,yes,unknown,69,active,not-contacted, - ,(415) 776-5815,office@kenmorehotelsf.com,Direct approach,pl-kenmore-residence-club
24,Villages at Treasure Island,cheapest beds in SF proper,"410 Avenue of the Palms, Treasure Island, SF",Treasure Island,45,1083,,private,45,true,yes,unknown,67.92,active,not-contacted,John Stewart Co. leasing,(415) 834-0211,jsco.net form,Confirm 2026-27 unit runway with John Stewart Co.,pl-villages-at-treasure-island-cheapest-beds-in-sf
25,TL Residences,,"361 Turk St, Tenderloin",Civic Center,240,2100,,communal,10,unknown,yes,operator,67.5,active,contacted by Alex,,,,,inv-tl-residences
26,City Gardens Apartments,,"333 12th St, SoMa",SoMa,200,2000,,communal,15,unknown,yes,operator,65,active,contacted by Alex,,,,,inv-city-gardens-apartments
27,SOMA Residences,,"1045 Mission St, SoMa",SoMa,93,2100,,private,5,unknown,yes,operator,64.5,active,not-contacted,,,,,inv-soma-residences
28,1538 Polk St + AAU cluster pairing,,"Polk Gulch / Lower Nob Hill, SF",Nob Hill,43,2100,,private,22,false,unknown,institution,60.5,on-market,not-contacted,Brian Leung / Jeremy Lee - Compass Commercial,(415) 278-7838 / (650) 219-3989,brian.leung@compass.com · jeremy.lee@compass.com,Pair with an AAU dorm lease,pl-1538-polk-st-aau-cluster-pairing
29,20 Mission SF (20mish),,"3491 20th St, Mission",Mission,40,1300,1550 (2026-08-22 via booking-page),communal,45,unknown,yes,operator,57.5,active,not-contacted,Resident manager Stephanie, - ,Interest form: forms.gle/5tP3NrDf7ZgKzRtm7 · Discord via 20mish.com,,inv-20-mission-sf-20mish
30,20mish,,"Mission District, SF",Mission,40,1625,,communal,40,unknown,yes,operator,54.38,active,not-contacted,Resident manager Stephanie, - ,Interest form: forms.gle/5tP3NrDf7ZgKzRtm7 · Discord via 20mish.com,Bridge or long-term takeover,pl-20mish
31,Parkmerced,bulk units from a receiver,"3711 19th Ave, SF (SW corner, near SFSU)",Parkmerced,120,1500,,private,50,unknown,unknown,receiver,47.5,receivership,not-contacted,Leasing; receiver = Douglas Wilson Companies,(415) 689-6252,lease@rentbt.com,60-120 bed corporate block at a steep discount,pl-parkmerced-bulk-units-from-a-receiver
32,Foundry Coliving (4 houses),,550 Guerrero St + 3 SF houses,Mission,47,2090,,communal,42,true,yes,operator,45.75,active,not-contacted, - ,(415) 610-2405,support@foundry.today,Portfolio takeover / block,pl-foundry-coliving-4-houses
33,Hotel Fiona,,"140 7th St, SoMa",SoMa,50,2200,,none,7,true,yes,operator,45,active,not-contacted,,,,,inv-hotel-fiona
34,Salvation Army McFee Center,96-bed building in entitlement limbo,"1500 Valencia St + 3500 Cesar Chavez, Mission, SF",Mission,96,,,communal,35,false,no,institution,42,on-market,not-contacted,Catherine Bassick - Douglas Elliman (listing broker), - ,elliman.com agent profile,"Broker: Catherine Marcus Bassick, Douglas Elliman Commercial",pl-salvation-army-mcfee-center-96-bed-building-in-e
35,Embassy Hotel,"84 rooms, on-market, unencumbered","610 Polk St (at Turk), Van Ness corridor, SF",Civic Center,84,1200,,none,14,false,unknown,broker,40,on-market,not-contacted,CBRE Hotels - SF listing team (ask for 610 Polk St),CBRE SF (415) 772-0123 - verify,cbre.com/properties,CBRE Hotels listing team; lowball buy or master lease to owner,pl-embassy-hotel-84-rooms-on-market-unencumbered
36,Hotel Union Square,"131 rooms, dark since 2021","114-120 Powell St, Union Square, SF",Union Square,131,1750,,none,8,false,unknown,owner,40,dark,not-contacted,"Owner Mahmood Alam (Faizan Corp, Ukiah)",(510) 862-3333 (per 2023 CEQA filing),"alam786@aol.com ⚠ · CA SoS lookup: ""Hotel Union Square LLC""",Catch owner before he commits to hotel use,pl-hotel-union-square-131-rooms-dark-since-2021
37,Hotel Whitcomb floors,Blackstone wants an interim operator,"1231 Market St, Mid-Market SF",Civic Center,80,1850,,none,3,unknown,unknown,receiver,40,receivership,not-contacted,Blackstone Real Estate - asset mgmt; 'exploring new operators', - ,via Blackstone RE press office / Hotel Whitcomb GM,Pitch Blackstone Mortgage Trust as the interim operator,pl-hotel-whitcomb-floors-blackstone-wants-an-interi
38,Motel 6 Civic Center,,"583-585 Eddy St, San Francisco",Civic Center,68,1850,,none,10,false,unknown,broker,40,on-market,not-contacted,Richard Ehmer + Jeramie Hamilton - Ehmer Group,(415) 225-5176 / (650) 454-5982,rehmer@ehmergroup.com,Lease + option pitch,pl-motel-6-civic-center
39,Stanford Court,"4-star Nob Hill, receiver in place","905 California St, Nob Hill, SF",Nob Hill,60,2000,,none,20,false,unknown,receiver,40,receivership,not-contacted,Eastdil Secured SF - ask for the Stanford Court deal team,(415) 228-2900,101 California St #2950,Pitch receiver a guaranteed 50-60 room block,pl-stanford-court-4-star-nob-hill-receiver-in-place
40,Union Square Plaza Hotel,,"418-432 Geary St, San Francisco",Union Square,69,1850,,none,10,false,unknown,broker,40,on-market,not-contacted,Ryan Clark - KW Commercial,(605) 228-6402 ⚠,LoopNet/Crexi form,Master lease + option,pl-union-square-plaza-hotel
41,St. Anne's Home,closed 6-acre care campus,"300 Lake St, Inner Richmond, SF",Inner Richmond,100,,,communal,55,false,no,broker,32,on-market,not-contacted,Greg Zielinski - Zielinski Companies (runs the sale for the order),(800) 489-2150 / (314) 644-2150,mail@zielinskico.com,Interim master lease from whoever wins it,pl-st-anne-s-home-closed-6-acre-care-campus
